5.79663E-4	10.28352
7.34243E-4	10.62594
9.26263E-4	11.34537
0.00118	11.50576
0.00144	11.61395
0.00175	11.72315
0.00198	11.72315
0.00235	11.72315
0.00285	11.72315
0.0041	13.42699
0.00507	12.57557
0.00642	12.57557
0.00837	12.69381
0.0131	15.52307
0.01993	15.89055
0.02853	14.53873
0.03541	14.67544
0.04653	13.61681
0.0528	13.11649
0.06369	12.17032
0.07905	12.57557
0.10601	11.88888
0.1445	11.61395
0.1922	10.97977
0.25987	10.47782
0.31861	9.58647
0.37655	9.58647
0.44143	9.19112
0.51959	8.56811
0.66354	8.56811
0.81685	7.65794
1.06029	8.36997
1.31595	7.83922
1.61341	7.7662
2.12001	7.10553
2.55719	6.71753
3.36014	6.71753
4.29103	6.71753
4.96918	6.71753
6.04294	6.26219
