0.25987	28095.27679
0.28309	21924.28432
0.31731	18096.90173
0.38119	14660.68064
0.45792	12621.84826
0.50498	10225.22469
0.55687	8092.1075
0.6293	5436.53985
0.76217	4105.71799
0.8613	3028.96695
0.98931	2162.59096
1.12714	1551.26665
1.27374	1268.5302
1.34304	1008.60663
1.64662	798.19794
1.83817	617.07544
2.23537	474.82513
2.66356	466.02027
2.3763	361.96343
3.03463	281.14125
3.64552	278.5224
3.61592	210.34232
4.34382	192.44844
5.30403	157.37247
5.39121	121.09444
6.88479	125.12664
7.78024	98.10115
9.77501	98.10115
11.98453	82.50529
13.05548	74.78338
15.11874	67.46774
16.67237	62.89452
18.53614	58.63129
22.08679	53.64351
25.16373	49.54152
28.66932	46.61766
33.6086	42.65188
40.04642	38.84129
46.37527	36.20848
53.92364	34.07151
